longitude,latitude,value
-0.9167,60.9500,8.2628
-0.7500,60.9500,8.2569
-0.5833,60.9500,8.2515
-0.4167,60.9500,8.2459
-0.2500,60.9500,8.2405
-0.0833,60.9500,8.2368
0.0833,60.9500,8.2336
0.2500,60.9500,8.2323
0.4167,60.9500,8.2297
0.5833,60.9500,8.2257
0.7500,60.9500,8.2223
0.9167,60.9500,8.2182
1.0833,60.9500,8.2117
1.2500,60.9500,8.2013
1.4167,60.9500,8.1847
1.5833,60.9500,8.1599
1.7500,60.9500,8.1243
1.9167,60.9500,8.0758
2.0833,60.9500,8.0142
2.2500,60.9500,7.9419
2.4167,60.9500,7.8582
2.5833,60.9500,7.7639
2.7500,60.9500,7.6631
2.9167,60.9500,7.5597
3.0833,60.9500,7.4563
3.2500,60.9500,7.3560
3.4167,60.9500,7.2628
3.5833,60.9500,7.1781
3.7500,60.9500,7.1021
3.9167,60.9500,7.0337
4.0833,60.9500,6.9692
4.2500,60.9500,6.9253
4.4167,60.9500,6.8893
4.5833,60.9500,6.8584
4.7500,60.9500,6.8303
4.9167,60.9500,6.8051
-2.9167,60.8500,8.3994
-2.7500,60.8500,8.3967
-2.5833,60.8500,8.3876
-2.4167,60.8500,8.3748
-2.2500,60.8500,8.3617
-2.0833,60.8500,8.3478
-1.9167,60.8500,8.3304
-1.7500,60.8500,8.3117
-1.5833,60.8500,8.2904
-1.4167,60.8500,8.2689
-1.2500,60.8500,8.2543
-1.0833,60.8500,8.2414
-0.9167,60.8500,8.2294
-0.7500,60.8500,8.2199
-0.5833,60.8500,8.2129
-0.4167,60.8500,8.2076
-0.2500,60.8500,8.2038
-0.0833,60.8500,8.2032
0.0833,60.8500,8.2037
0.2500,60.8500,8.2062
0.4167,60.8500,8.2071
0.5833,60.8500,8.2057
0.7500,60.8500,8.2043
0.9167,60.8500,8.2013
1.0833,60.8500,8.1950
1.2500,60.8500,8.1841
1.4167,60.8500,8.1667
1.5833,60.8500,8.1409
1.7500,60.8500,8.1047
1.9167,60.8500,8.0562
2.0833,60.8500,7.9950
2.2500,60.8500,7.9236
2.4167,60.8500,7.8419
2.5833,60.8500,7.7495
2.7500,60.8500,7.6513
2.9167,60.8500,7.5505
3.0833,60.8500,7.4495
3.2500,60.8500,7.3511
3.4167,60.8500,7.2594
3.5833,60.8500,7.1750
3.7500,60.8500,7.0985
3.9167,60.8500,7.0291
4.0833,60.8500,6.9603
4.2500,60.8500,6.9141
4.4167,60.8500,6.8759
4.5833,60.8500,6.8423
4.7500,60.8500,6.8115
4.9167,60.8500,6.7836
-3.2500,60.7500,8.4565
-3.0833,60.7500,8.4590
-2.9167,60.7500,8.4503
-2.7500,60.7500,8.4364
-2.5833,60.7500,8.4165
-2.4167,60.7500,8.3950
-2.2500,60.7500,8.3735
-2.0833,60.7500,8.3535
-1.9167,60.7500,8.3290
-1.7500,60.7500,8.3028
-1.5833,60.7500,8.2730
-1.4167,60.7500,8.2431
-1.2500,60.7500,8.2205
-1.0833,60.7500,8.2004
-0.7500,60.7500,8.1703
-0.5833,60.7500,8.1623
-0.4167,60.7500,8.1586
-0.2500,60.7500,8.1571
-0.0833,60.7500,8.1604
0.0833,60.7500,8.1653
0.2500,60.7500,8.1725
0.4167,60.7500,8.1776
0.5833,60.7500,8.1796
0.7500,60.7500,8.1812
0.9167,60.7500,8.1799
1.0833,60.7500,8.1745
1.2500,60.7500,8.1637
1.4167,60.7500,8.1461
1.5833,60.7500,8.1203
1.7500,60.7500,8.0844
1.9167,60.7500,8.0369
2.0833,60.7500,7.9769
2.2500,60.7500,7.9072
2.4167,60.7500,7.8279
2.5833,60.7500,7.7377
2.7500,60.7500,7.6421
2.9167,60.7500,7.5439
3.0833,60.7500,7.4449
3.2500,60.7500,7.3479
3.4167,60.7500,7.2568
3.5833,60.7500,7.1720
3.7500,60.7500,7.0943
3.9167,60.7500,7.0232
4.0833,60.7500,6.9495
4.2500,60.7500,6.9005
4.4167,60.7500,6.8598
4.5833,60.7500,6.8231
4.7500,60.7500,6.7892
4.9167,60.7500,6.7582
-3.4167,60.6500,8.5030
-3.2500,60.6500,8.5082
-3.0833,60.6500,8.4998
-2.9167,60.6500,8.4808
-2.7500,60.6500,8.4573
-2.5833,60.6500,8.4287
-2.4167,60.6500,8.4000
-2.2500,60.6500,8.3720
-2.0833,60.6500,8.3476
-1.9167,60.6500,8.3185
-1.7500,60.6500,8.2859
-1.5833,60.6500,8.2483
-1.4167,60.6500,8.2103
-0.7500,60.6500,8.1125
-0.5833,60.6500,8.1038
-0.4167,60.6500,8.1018
-0.2500,60.6500,8.1025
-0.0833,60.6500,8.1087
0.0833,60.6500,8.1178
0.2500,60.6500,8.1296
0.4167,60.6500,8.1390
0.5833,60.6500,8.1448
0.7500,60.6500,8.1498
0.9167,60.6500,8.1510
1.0833,60.6500,8.1473
1.2500,60.6500,8.1376
1.4167,60.6500,8.1210
1.5833,60.6500,8.0967
1.7500,60.6500,8.0625
1.9167,60.6500,8.0171
2.0833,60.6500,7.9590
2.2500,60.6500,7.8916
2.4167,60.6500,7.8151
2.5833,60.6500,7.7272
